"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Client1",,,,"User:","zhiyang"
"Cmdline:","dstat -tcnm --output ../logs/1/dstat_client1.csv",,,,"Date:","17 Oct 2018 23:20:40 UTC"

"system","total cpu usage",,,,,,"net/total",,"memory usage",,,
"time","usr","sys","idl","wai","hiq","siq","recv","send","used","buff","cach","free"
17-10 23:20:40,1.412,1.352,94.195,2.534,0.0,0.506,0.0,0.0,286822400.0,14888960.0,194699264.0,3112656896.0
17-10 23:20:41,2.051,3.590,90.769,0.0,0.0,3.590,7371974.0,253871.0,286932992.0,14888960.0,194711552.0,3112534016.0
17-10 23:20:42,4.145,2.591,90.674,0.0,0.0,2.591,8028112.0,280904.0,287043584.0,14888960.0,194711552.0,3112423424.0
17-10 23:20:43,5.670,12.887,76.289,0.0,0.0,5.155,18580312.0,642613.0,287535104.0,14888960.0,194711552.0,3111931904.0
17-10 23:20:44,7.035,15.075,70.352,0.0,0.0,7.538,23376834.0,810034.0,287469568.0,14888960.0,194711552.0,3111997440.0
17-10 23:20:45,9.896,17.708,66.146,0.0,0.0,6.250,28387882.0,987336.0,287526912.0,14888960.0,194711552.0,3111940096.0
17-10 23:20:46,8.718,16.410,65.128,0.0,0.0,9.744,29071241.0,1006103.0,287535104.0,14888960.0,194711552.0,3111931904.0
17-10 23:20:47,9.045,25.126,58.291,0.0,0.0,7.538,31831808.0,1103903.0,287502336.0,14888960.0,194711552.0,3111964672.0
17-10 23:20:48,11.828,18.817,60.753,0.0,0.0,8.602,31610914.0,1096231.0,287494144.0,14888960.0,194711552.0,3111972864.0
17-10 23:20:49,11.224,18.367,61.224,0.0,0.0,9.184,31658155.0,1099328.0,287694848.0,14888960.0,194711552.0,3111772160.0
17-10 23:20:50,12.376,18.812,60.891,0.0,0.0,7.921,30720535.0,1061708.0,287653888.0,14888960.0,194711552.0,3111813120.0
17-10 23:20:51,12.821,16.410,63.077,0.0,0.0,7.692,30720605.0,1070054.0,287719424.0,14888960.0,194711552.0,3111747584.0
17-10 23:20:52,10.256,19.487,60.513,0.0,0.0,9.744,31212627.0,1081050.0,287703040.0,14888960.0,194711552.0,3111763968.0
17-10 23:20:53,10.695,17.112,63.102,0.0,0.0,9.091,31452156.0,1088420.0,287694848.0,14888960.0,194711552.0,3111772160.0
17-10 23:20:54,11.0,19.0,59.500,0.0,0.0,10.500,30991951.0,1077860.0,287662080.0,14888960.0,194711552.0,3111804928.0
17-10 23:20:55,10.106,17.021,64.362,0.0,0.0,8.511,31417112.0,1087997.0,287637504.0,14888960.0,194711552.0,3111829504.0
