[7l----system---- ----total-cpu-usage---- -net/total- ------memory-usage-----
     time     |usr sys idl wai hiq siq| recv  send| used  buff  cach  free
17-10 20:39:45|  1   1  97   1   0   0|   0     0 | 282M 17.0M  228M 2915M
17-10 20:39:46|  2   4  88   0   0   6|5871k 5779k| 282M 17.0M  228M 2915M
17-10 20:39:47|  3   7  87   0   0   3|7149k 7047k| 282M 17.0M  228M 2915M
17-10 20:39:48|  6   7  83   0   0   5|7303k 7220k| 282M 17.0M  228M 2915M
17-10 20:39:49|  3   7  84   0   0   6|7476k 7377k| 282M 17.0M  228M 2915M
17-10 20:39:50|  5   9  79   0   0   6|  11M   11M| 282M 17.0M  228M 2915M
17-10 20:39:51|  7  12  76   0   0   5|  12M   12M| 282M 17.0M  228M 2915M
17-10 20:39:52|  6  10  78   0   0   5|  12M   12M| 282M 17.0M  228M 2915M
17-10 20:39:53|  7  11  77   0   0   5|  12M   12M| 283M 17.0M  228M 2914M
17-10 20:39:54|  8  11  75   0   0   6|  12M   12M| 283M 17.0M  228M 2914M
17-10 20:39:55|  7  11  77   0   0   4|  12M   12M| 283M 17.0M  228M 2914M
17-10 20:39:56|  5  13  76   0   0   7|  12M   12M| 283M 17.0M  228M 2914M
17-10 20:39:57|  7  13  75   0   0   6|  12M   12M| 283M 17.0M  228M 2914M
17-10 20:39:58|  6  10  77   0   0   7|  12M   12M| 283M 17.0M  228M 2914M
17-10 20:39:59|  8  12  74   0   0   6|  12M   12M| 283M 17.0M  228M 2914M
17-10 20:40:00|  6  12  75   1   0   6|  12M   12M| 283M 17.1M  228M 2914M
17-10 20:40:01|  5  11  78   0   0   6|  12M   12M| 283M 17.1M  228M 2914M
17-10 20:40:02|  8  11  76   0   0   5|  12M   12M| 283M 17.1M  228M 2914M
17-10 20:40:03|  5  15  73   0   0   7|  12M   12M| 283M 17.1M  228M 2914M
17-10 20:40:04|  6  13  74   0   0   7|  12M   12M| 283M 17.1M  228M 2914M
17-10 20:40:05|  8  14  74   0   0   5|  12M   12M| 283M 17.1M  228M 2914M
17-10 20:40:06|  8  12  76   0   0   5|  12M   12M| 283M 17.1M  228M 2914M
17-10 20:40:07|  6  12  76   0   0   7|  12M   12M| 283M 17.1M  228M 2914M
