"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Middleware1",,,,"User:","zhiyang"
"Cmdline:","dstat -tcnm --output ../logs/1/dstat_mw1.csv",,,,"Date:","17 Oct 2018 20:39:35 UTC"

"system","total cpu usage",,,,,,"net/total",,"memory usage",,,
"time","usr","sys","idl","wai","hiq","siq","recv","send","used","buff","cach","free"
17-10 20:39:35,0.354,0.173,98.781,0.651,0.0,0.041,0.0,0.0,1231040512.0,18358272.0,271122432.0,13185568768.0
17-10 20:39:36,16.860,0.901,82.111,0.0,0.0,0.129,779.0,246.0,1266286592.0,18358272.0,271130624.0,13150314496.0
17-10 20:39:37,8.535,1.146,90.318,0.0,0.0,0.0,2677.0,4718.0,1337143296.0,18358272.0,271134720.0,13079453696.0
17-10 20:39:38,0.125,0.125,99.750,0.0,0.0,0.0,6294.0,5087.0,1337143296.0,18358272.0,271134720.0,13079453696.0
17-10 20:39:39,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1337143296.0,18358272.0,271134720.0,13079453696.0
17-10 20:39:40,0.0,0.0,100.0,0.0,0.0,0.0,42.0,42.0,1337143296.0,18358272.0,271134720.0,13079453696.0
17-10 20:39:41,0.250,0.0,99.750,0.0,0.0,0.0,5872.0,4373.0,1336877056.0,18358272.0,271134720.0,13079719936.0
17-10 20:39:42,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1337454592.0,18358272.0,271134720.0,13079142400.0
17-10 20:39:43,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1337446400.0,18358272.0,271134720.0,13079150592.0
17-10 20:39:44,0.0,0.125,99.875,0.0,0.0,0.0,5872.0,4373.0,1337446400.0,18358272.0,271134720.0,13079150592.0
17-10 20:39:45,0.624,0.125,99.251,0.0,0.0,0.0,291034.0,91026.0,1337651200.0,18358272.0,271134720.0,13078945792.0
17-10 20:39:46,68.495,14.487,14.346,0.0,0.0,2.672,11442232.0,11177089.0,1431937024.0,18358272.0,271134720.0,12984659968.0
17-10 20:39:47,73.846,17.203,5.594,0.0,0.0,3.357,14618479.0,14192470.0,1548840960.0,18358272.0,271134720.0,12867756032.0
17-10 20:39:48,73.045,16.480,6.425,0.0,0.0,4.050,15188810.0,14700816.0,1751228416.0,18358272.0,271134720.0,12665368576.0
17-10 20:39:49,77.266,13.947,5.021,0.0,0.0,3.766,15264818.0,14794949.0,1784782848.0,18358272.0,271134720.0,12631814144.0
17-10 20:39:50,60.876,19.699,13.817,0.0,0.0,5.609,23460425.0,22820585.0,2045558784.0,18358272.0,271134720.0,12371038208.0
17-10 20:39:51,38.120,8.225,48.695,0.0,0.0,4.961,25794365.0,25038832.0,2047942656.0,18358272.0,271134720.0,12368654336.0
17-10 20:39:52,17.578,9.505,68.880,0.0,0.0,4.036,25785686.0,25007825.0,2452148224.0,18358272.0,271134720.0,11964448768.0
17-10 20:39:53,18.471,6.624,70.701,0.0,0.0,4.204,26220155.0,25498722.0,2452115456.0,18358272.0,271134720.0,11964481536.0
17-10 20:39:54,16.188,6.658,74.674,0.0,0.0,2.480,25335055.0,24607921.0,2452377600.0,18358272.0,271134720.0,11964219392.0
17-10 20:39:55,16.234,5.844,75.065,0.0,0.0,2.857,25425719.0,24640670.0,2452082688.0,18358272.0,271134720.0,11964514304.0
17-10 20:39:56,17.723,6.080,73.092,0.0,0.0,3.105,25380980.0,24588350.0,2417688576.0,18358272.0,271134720.0,11998908416.0
17-10 20:39:57,17.755,5.483,74.413,0.0,0.0,2.350,25428028.0,24716845.0,2418073600.0,18358272.0,271134720.0,11998523392.0
17-10 20:39:58,18.218,6.946,72.608,0.0,0.0,2.228,26171468.0,25416459.0,2399277056.0,18358272.0,271134720.0,12017319936.0
17-10 20:39:59,17.010,6.186,73.582,0.0,0.0,3.222,25761686.0,24993290.0,2399342592.0,18358272.0,271134720.0,12017254400.0
17-10 20:40:00,17.139,5.541,73.711,0.0,0.0,3.608,25412104.0,24710458.0,2382532608.0,18358272.0,271134720.0,12034064384.0
17-10 20:40:01,16.710,4.830,75.849,0.131,0.0,2.480,25374742.0,24621959.0,2382524416.0,18366464.0,271134720.0,12034064384.0
17-10 20:40:02,17.761,6.435,72.072,0.0,0.0,3.732,25706297.0,24943928.0,2367688704.0,18366464.0,271134720.0,12048900096.0
17-10 20:40:03,18.111,6.339,71.798,0.0,0.0,3.752,26280245.0,25506466.0,2355236864.0,18366464.0,271134720.0,12061351936.0
17-10 20:40:04,17.562,7.733,71.691,0.0,0.0,3.014,25860863.0,25125336.0,2355728384.0,18366464.0,271134720.0,12060860416.0
17-10 20:40:05,20.363,7.134,69.131,0.0,0.0,3.372,25357573.0,24621761.0,2342555648.0,18366464.0,271134720.0,12074033152.0
17-10 20:40:06,17.876,5.570,73.964,0.0,0.0,2.591,25356337.0,24618461.0,2332037120.0,18366464.0,271134720.0,12084551680.0
17-10 20:40:07,16.216,6.564,73.745,0.0,0.0,3.475,25356538.0,24548109.0,2323677184.0,18366464.0,271138816.0,12092907520.0
17-10 20:40:08,20.232,5.799,71.392,0.0,0.0,2.577,25767121.0,25042128.0,2317484032.0,18366464.0,271138816.0,12099100672.0
17-10 20:40:09,16.796,6.202,73.773,0.0,0.0,3.230,25509132.0,24742742.0,2308902912.0,18366464.0,271138816.0,12107681792.0
17-10 20:40:10,17.571,6.977,72.739,0.0,0.0,2.713,25665195.0,24930567.0,2302578688.0,18366464.0,271138816.0,12114006016.0
17-10 20:40:11,16.949,6.519,73.533,0.0,0.0,2.999,25879258.0,25097773.0,2298548224.0,18366464.0,271138816.0,12118036480.0
17-10 20:40:12,16.974,7.105,73.158,0.0,0.0,2.763,25823745.0,25072788.0,2290507776.0,18366464.0,271138816.0,12126076928.0
17-10 20:40:13,17.335,5.563,73.997,0.0,0.0,3.105,25385266.0,24638585.0,2288312320.0,18366464.0,271138816.0,12128272384.0
17-10 20:40:14,17.893,5.584,72.462,0.0,0.0,4.061,25419521.0,24661421.0,2284544000.0,18366464.0,271138816.0,12132040704.0
17-10 20:40:15,17.670,6.274,72.983,0.0,0.0,3.073,25403995.0,24647908.0,2280185856.0,18366464.0,271138816.0,12136398848.0
17-10 20:40:16,17.098,5.959,73.187,0.0,0.0,3.756,25289157.0,24534418.0,2277859328.0,18366464.0,271138816.0,12138725376.0
17-10 20:40:17,18.100,5.777,71.759,0.0,0.0,4.365,25511778.0,24816186.0,2275471360.0,18366464.0,271138816.0,12141113344.0
17-10 20:40:18,16.753,6.623,73.247,0.0,0.0,3.377,25333871.0,24517613.0,2273472512.0,18366464.0,271138816.0,12143112192.0
17-10 20:40:19,19.363,6.115,71.338,0.0,0.0,3.185,25803689.0,25074223.0,2271211520.0,18366464.0,271138816.0,12145373184.0
17-10 20:40:20,17.273,5.455,74.675,0.0,0.0,2.597,25431778.0,24680982.0,2271375360.0,18366464.0,271138816.0,12145209344.0
17-10 20:40:21,19.124,6.242,71.580,0.0,0.0,3.054,26002880.0,25181324.0,2269507584.0,18366464.0,271138816.0,12147077120.0
17-10 20:40:22,19.515,5.995,71.301,0.0,0.0,3.189,25570981.0,24873770.0,2269671424.0,18366464.0,271138816.0,12146913280.0
17-10 20:40:23,17.752,6.897,72.669,0.0,0.0,2.682,25366080.0,24635756.0,2269188096.0,18366464.0,271138816.0,12147396608.0
17-10 20:40:24,17.982,5.563,73.868,0.0,0.0,2.587,25418771.0,24666442.0,2267025408.0,18366464.0,271138816.0,12149559296.0
17-10 20:40:25,17.241,7.024,72.925,0.0,0.0,2.810,25416329.0,24708096.0,2267058176.0,18366464.0,271138816.0,12149526528.0
17-10 20:40:26,18.475,6.848,71.059,0.0,0.0,3.618,26568165.0,25801227.0,2265255936.0,18366464.0,271138816.0,12151328768.0
17-10 20:40:27,17.380,5.837,73.671,0.0,0.0,3.113,25418367.0,24679094.0,2265604096.0,18366464.0,271138816.0,12150980608.0
17-10 20:40:28,17.564,5.897,72.949,0.0,0.0,3.590,25420614.0,24639535.0,2263306240.0,18366464.0,271142912.0,12153274368.0
17-10 20:40:29,18.016,5.875,72.193,0.0,0.0,3.916,25792369.0,25032957.0,2261372928.0,18366464.0,271142912.0,12155207680.0
17-10 20:40:30,17.769,6.355,73.152,0.0,0.0,2.724,25736447.0,24986333.0,2259374080.0,18366464.0,271142912.0,12157206528.0
17-10 20:40:31,16.971,5.222,74.282,0.0,0.0,3.525,25386984.0,24638798.0,2259308544.0,18366464.0,271142912.0,12157272064.0
17-10 20:40:32,17.448,6.510,73.047,0.260,0.0,2.734,25455417.0,24703829.0,2258784256.0,18374656.0,271142912.0,12157788160.0
17-10 20:40:33,18.205,6.538,72.821,0.0,0.0,2.436,25767135.0,25025308.0,2259046400.0,18374656.0,271142912.0,12157526016.0
17-10 20:40:34,17.692,7.051,72.821,0.0,0.0,2.436,25743971.0,24943635.0,2256916480.0,18374656.0,271142912.0,12159655936.0
17-10 20:40:35,18.111,6.339,72.833,0.0,0.0,2.717,25380967.0,24636685.0,2256850944.0,18374656.0,271142912.0,12159721472.0
17-10 20:40:36,18.418,5.707,72.114,0.0,0.0,3.761,25446437.0,24717448.0,2256982016.0,18374656.0,271142912.0,12159590400.0
17-10 20:40:37,18.839,5.935,72.258,0.0,0.0,2.968,25825933.0,25091159.0,2254786560.0,18374656.0,271142912.0,12161785856.0
17-10 20:40:38,18.557,6.830,71.649,0.0,0.0,2.964,25766397.0,24990558.0,2254983168.0,18374656.0,271142912.0,12161589248.0
17-10 20:40:39,17.995,5.913,72.751,0.0,0.0,3.342,25404813.0,24669315.0,2252591104.0,18374656.0,271142912.0,12163981312.0
17-10 20:40:40,17.210,6.519,73.794,0.0,0.0,2.477,25417301.0,24637856.0,2252492800.0,18374656.0,271142912.0,12164079616.0
17-10 20:40:41,18.159,6.777,70.972,0.0,0.0,4.092,25706907.0,24932886.0,2252754944.0,18374656.0,271147008.0,12163813376.0
17-10 20:40:42,18.050,6.456,72.069,0.0,0.0,3.426,26217223.0,25481414.0,2251829248.0,18374656.0,271151104.0,12164734976.0
