[7l----system---- ----total-cpu-usage---- -net/total- ------memory-usage-----
     time     |usr sys idl wai hiq siq| recv  send| used  buff  cach  free
17-10 20:39:35|  0   0  99   1   0   0|   0     0 |1174M 17.5M  259M 12.3G
17-10 20:39:36| 17   1  82   0   0   0| 779B  246B|1208M 17.5M  259M 12.2G
17-10 20:39:37|  9   1  90   0   0   0|2677B 4718B|1275M 17.5M  259M 12.2G
17-10 20:39:38|  0   0 100   0   0   0|6294B 5087B|1275M 17.5M  259M 12.2G
17-10 20:39:39|  0   0 100   0   0   0|   0     0 |1275M 17.5M  259M 12.2G
17-10 20:39:40|  0   0 100   0   0   0|  42B   42B|1275M 17.5M  259M 12.2G
17-10 20:39:41|  0   0 100   0   0   0|5872B 4373B|1275M 17.5M  259M 12.2G
17-10 20:39:42|  0   0 100   0   0   0|   0     0 |1275M 17.5M  259M 12.2G
17-10 20:39:43|  0   0 100   0   0   0|   0     0 |1275M 17.5M  259M 12.2G
17-10 20:39:44|  0   0 100   0   0   0|5872B 4373B|1275M 17.5M  259M 12.2G
17-10 20:39:45|  1   0  99   0   0   0| 284k   89k|1276M 17.5M  259M 12.2G
17-10 20:39:46| 68  14  14   0   0   3|  11M   11M|1366M 17.5M  259M 12.1G
17-10 20:39:47| 74  17   6   0   0   3|  14M   14M|1477M 17.5M  259M 12.0G
17-10 20:39:48| 73  16   6   0   0   4|  14M   14M|1670M 17.5M  259M 11.8G
17-10 20:39:49| 77  14   5   0   0   4|  15M   14M|1702M 17.5M  259M 11.8G
17-10 20:39:50| 61  20  14   0   0   6|  22M   22M|1951M 17.5M  259M 11.5G
17-10 20:39:51| 38   8  49   0   0   5|  25M   24M|1953M 17.5M  259M 11.5G
17-10 20:39:52| 18  10  69   0   0   4|  25M   24M|2339M 17.5M  259M 11.1G
17-10 20:39:53| 18   7  71   0   0   4|  25M   24M|2339M 17.5M  259M 11.1G
17-10 20:39:54| 16   7  75   0   0   2|  24M   23M|2339M 17.5M  259M 11.1G
17-10 20:39:55| 16   6  75   0   0   3|  24M   23M|2338M 17.5M  259M 11.1G
17-10 20:39:56| 18   6  73   0   0   3|  24M   23M|2306M 17.5M  259M 11.2G
17-10 20:39:57| 18   5  74   0   0   2|  24M   24M|2306M 17.5M  259M 11.2G
17-10 20:39:58| 18   7  73   0   0   2|  25M   24M|2288M 17.5M  259M 11.2G
